,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
6903,25030E,서구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",33.0,315.0,8.0,2.0,285.0,20.0,0.0
8907,25040E,유성구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",16.0,267.0,3.0,0.0,264.0,0.0,0.0
10911,25050E,대덕구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",50.0,1833.0,11.0,3.0,1785.0,34.0,0.0
891,25E,대전광역시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",135.0,3205.0,32.0,6.0,3086.0,71.0,10.0
2895,26010E,중구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",25.0,182.0,10.0,1.0,141.0,29.0,1.0
4899,26020E,남구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",64.0,835.0,21.0,1.0,781.0,32.0,0.0
6903,26030E,동구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",4.0,63.0,2.0,0.0,61.0,0.0,0.0
8907,26040E,북구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",18.0,135.0,7.0,1.0,125.0,1.0,1.0
10911,26310E,울주군,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",91.0,877.0,33.0,5.0,815.0,24.0,0.0
891,26E,울산광역시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",202.0,2092.0,73.0,8.0,1923.0,86.0,2.0
2895,29010E,세종특별자치시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",64.0,562.0,17.0,3.0,504.0,30.0,8.0
891,29E,세종특별자치시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",64.0,562.0,17.0,3.0,504.0,30.0,8.0
