,제목,청원시작일,청원종료일,참여인원,청원답변일,URL
22,가해자 중심적인 성범죄의 양형기준을 재정비해주세요.,2019. 11. 15,2019. 12. 15,"264,102",2020. 02. 14,https://www1.president.go.kr/petitions/583605
23,"계엄령 문건 수사 관련, 윤석열 검찰청장에 대한 수사를 촉구합니다.",2019. 10. 24,2019. 11. 23,"205,668",2020. 01. 22,https://www1.president.go.kr/petitions/583274
24,"라이엇 코리아의 그리핀, 조** 전 그리핀 대표, 김** 현 DRX 감독의 징계에 대한 재조사가 필요합니다.",2019. 11. 20,2019. 12. 20,"208,739",2020. 01. 17,https://www1.president.go.kr/petitions/583677
25,국가인권위가 조국 장관과 가족 수사과정에서 빚어진 무차별 인권 침해를  조사할 것을 청원합니다,2019. 10. 15,2019. 11. 14,"226,434",2020. 01. 13,https://www1.president.go.kr/petitions/583122
26,우리아이의 억울한 죽음은 끝나지 않았습니다.해인이법의 조속한 입법을 청원합니다.,2019. 10. 29,2019. 11. 28,"271,502",2020. 02. 20,https://www1.president.go.kr/petitions/583346
27,부산 산부인과 신생아 두개골 손상 사건의 진상규명과 관련자 처벌을 청원합니다.,2019. 10. 24,2019. 11. 23,"215,186",2019. 12. 20,https://www1.president.go.kr/petitions/583272
28,"대한민국의 채용성차별을 규탄하고, 여⦁남 동일고용 동일임금 및 여성의무할당제을 요구합니다.",2019. 10. 24,2019. 11. 23,"209,397",2019. 12. 20,https://www1.president.go.kr/petitions/583277
29,아동포르노 사이트를 운영한 손모씨와 사이트 이용자들의 합당한 처벌을 원합니다.,2019. 10. 21,2019. 11. 20,"306,638",2019. 12. 19,https://www1.president.go.kr/petitions/583190
30,도서정가제의 폐지를 청원합니다.,2019. 10. 14,2019. 11. 13,"209,133",2019. 12. 12,https://www1.president.go.kr/petitions/583076
31,KBS 수신료 전기요금 분리징수 청원,2019. 10. 10,2019. 11. 09,"213,306",2019. 12. 06,https://www1.president.go.kr/petitions/583046
32,06년생 집단 폭행 사건,2019. 09. 23,2019. 10. 23,"250,092",2019. 11. 22,https://www1.president.go.kr/petitions/582785
33,전 언론의 세무조사를 명령한다.,2019. 09. 10,2019. 10. 10,"227,314",2019. 10. 31,https://www1.president.go.kr/petitions/582620
34,나경원 자한당 원내대표의 각종 의혹에 대한 특검 요청!,2019. 08. 28,2019. 09. 27,"365,040",2019. 10. 26,https://www1.president.go.kr/petitions/582349
35,언론사의 가짜뉴스의 강력한 처벌을 청원합니다,2019. 08. 26,2019. 09. 25,"229,202",2019. 10. 24,https://www1.president.go.kr/petitions/582301
36,"한국내 일본산 활어유통과 일본해수 무단 방류, 무법깡패 일본 활어차 단속불가",2019. 07. 26,2019. 08. 25,"213,581",2019. 10. 18,https://www1.president.go.kr/petitions/581667
37,제주도 카니발 사건,2019. 08. 16,2019. 09. 15,"213,219",2019. 10. 11,https://www1.president.go.kr/petitions/582070
38,조국 전 청와대 민정수석의 법무장관 임용을 반대합니다.,2019. 08. 12,2019. 09. 11,"308,553",2019. 10. 10,https://www1.president.go.kr/petitions/582019
39,고 김성재님의 사망 미스테리를 다룬 그것이 알고싶다 방영하게 해주세요,2019. 08. 05,2019. 09. 04,"213,858",2019. 09. 27,https://www1.president.go.kr/petitions/581808
40,스티븐유(유승준) 입국금지 다시 해주세요. 국민 대다수의 형평성에 맞지 않고 자괴감이 듭니다.,2019. 07. 11,2019. 08. 10,"259,864",2019. 09. 09,https://www1.president.go.kr/petitions/581380
41,일본 극우여론전에 이용되고 있는 가짜뉴스 근원지 조선일보 폐간 및 TV조선 설립허가취소,2019. 07. 11,2019. 08. 10,"245,569",2019. 09. 06,https://www1.president.go.kr/petitions/581384
42,자두를 잔혹하게 살해한 범인을 잡아 강력 처벌해주세요 (동물보호법강화해주세요),2019. 07. 16,2019. 08. 15,"211,240",2019. 08. 30,https://www1.president.go.kr/petitions/581465
43,아동 성폭행범을 감형한 *** 판사 파면하라,2019. 06. 14,2019. 07. 14,"240,298",2019. 08. 07,https://www1.president.go.kr/petitions/580884
44,축구클럽에 축구한다고 차량에 태워 보낸 아이가 돌아오지 않았습니다,2019. 05. 24,2019. 06. 23,"213,025",2019. 07. 12,https://www1.president.go.kr/petitions/580402
45,2019형제*****호 가해용의자의 상장 취소 및 장학금 환수와 구속수사 및 가해용의자 보호기관들의 사죄를 청원합니다.,2019. 05. 27,2019. 06. 26,"216,862",2019. 07. 11,https://www1.president.go.kr/petitions/580452
46,버닝썬 VIP룸 6인을 수사해 주세요,2019. 04. 11,2019. 05. 11,"213,327",2019. 07. 10,https://www1.president.go.kr/petitions/579523
47,이천에서 벌어진 동물수간사건에 대한 강력한 처벌과 동물학대에 대한 범국가적인 대책마련을 촉구합니다.,2019. 05. 20,2019. 06. 19,"217,483",2019. 07. 04,https://www1.president.go.kr/petitions/580325
48,문재인 대통령의 탄핵을 청원합니다.,2019. 04. 30,2019. 05. 30,"250,219",2019. 06. 28,https://www1.president.go.kr/petitions/579840
49,진주 방화 및 살인 범죄자에 대해서 무관용 원칙이 필요합니다.,2019. 04. 18,2019. 05. 18,"202,804",2019. 06. 14,https://www1.president.go.kr/petitions/579612
50,국회의원도 국민이 직접 소환할 수 있어야 합니다.,2019. 04. 24,2019. 05. 24,"210,344",2019. 06. 12,https://www1.president.go.kr/petitions/579708
51,자유 한국당 정당해산 청원,2019. 04. 22,2019. 05. 22,"1,831,900",2019. 06. 11,https://www1.president.go.kr/petitions/579682
52,연합뉴스에 국민혈세로 지급하는 연 300억원의 재정보조금 제도의 전면 폐지를 청원합니다.,2019. 04. 04,2019. 05. 04,"364,920",2019. 06. 03,https://www1.president.go.kr/petitions/579401
53,대통령님께서 < 세월호참사 특별수사단 >설치와 세월호참사 전면재수사를 지시해주시기를 청원합니다!!,2019. 03. 29,2019. 04. 28,"240,529",2019. 05. 27,https://www1.president.go.kr/petitions/577697
54,11.15포항지진 피해배상 및 지역재건 특별법』제정을 간곡히 요청합니다.,2019. 03. 22,2019. 04. 21,"212,675",2019. 05. 17,https://www1.president.go.kr/petitions/570236
55,김학의 성접대 관련 피해자 신분보호와 관련자들에 대한 엄정수사를 촉구합니다,2019. 03. 14,2019. 04. 13,"211,344",2019. 05. 03,https://www1.president.go.kr/petitions/561699
